2,29,3,34,28,33,37,22,32,24,38,25,11,36,35,31,30,23,39,5,40,1,26,27,0
4,0.0,1,0.0,1.0,1.0,0.0,30,255,0.0,0.0,0.0,1,0.0,0.0,255,0.09,32,0.0,420,0.0,1,0.0,0.0,0
4,0.0,1,0.0,1.0,1.0,0.0,3,219,0.0,0.0,0.0,1,0.03,0.12,8,0.43,7,0.0,2251,0.0,1,0.0,0.0,0
10,0.0,1,0.05,1.0,0.1,0.53,1,25,0.0,0.0,0.0,1,0.0,0.0,255,0.0,1,0.02,14421,0.16,1,0.0,0.0,507
4,0.0,1,0.0,1.0,1.0,0.0,14,255,0.0,0.0,0.0,1,0.0,0.0,255,0.0,14,0.0,10499,0.0,1,0.0,0.0,0
12,0.0,1,0.0,1.0,1.0,0.0,122,255,0.0,0.0,0.0,0,0.0,0.01,255,0.01,202,0.0,43,0.0,2,0.0,0.0,0
4,0.0,1,0.0,1.0,1.0,0.0,22,255,0.0,0.0,0.0,1,0.0,0.0,255,0.14,28,0.0,2302,0.0,1,0.0,0.0,0
4,0.0,1,0.0,1.0,1.0,0.0,11,255,0.0,0.0,0.0,1,0.0,0.0,255,0.0,11,0.0,3006,0.0,1,0.0,0.0,0
12,0.0,1,0.02,1.0,0.88,0.0,73,212,0.0,0.0,0.0,0,0.01,0.88,122,0.03,75,0.08,133,0.0,2,0.0,0.0,0
4,0.0,1,0.0,1.0,1.0,0.0,1,58,0.0,0.0,0.0,1,0.03,0.05,21,0.0,1,0.0,2878,0.0,1,0.0,0.0,0
20,0.67,1,0.01,0.67,0.36,0.0,3,93,0.0,0.0,0.0,0,0.0,0.46,255,0.0,2,0.0,0,0.0,3,0.0,0.0,0
1,0.0,1,0.07,1.0,0.55,0.0,1,47,0.0,0.0,0.0,1,0.04,0.55,44,0.0,1,0.0,0,0.0,1,0.0,0.0,0
4,0.0,1,0.0,1.0,1.0,0.0,10,255,0.0,0.0,0.0,1,0.09,0.02,48,0.11,27,0.0,2790,0.0,1,0.0,0.0,0
4,0.0,1,0.0,1.0,1.0,0.0,9,255,0.0,0.0,0.0,1,0.02,0.01,123,0.0,9,0.0,379,0.0,1,0.0,0.0,0
